Time,Probability,RiskPremium,T0,T1,T2,Z,Expected,CVaR
11.5611321,0.05,-9.994060216437598e-12,2.0,-3.1845320252129264e-9,-3.1845320252129264e-9,-6.952389715782677e-12,-4.3452435723641734e-12,0.0
13.1651063,0.05,6.002964407040659e-12,2.0,3.91497678720043e-9,3.91497678720043e-9,4.1759752396804584e-12,2.6099845248002867e-12,0.0
11.5591128,0.05,-2.3199570856983575e-12,0.1,0.0,0.0,-1.6138831900510313e-12,-1.0086769937818947e-12,0.0
16.4355983,0.05,0.0,2.0,0.0,0.0,-0.0,0.0,0.0
25.1627658,0.05,5.619918397314904e-12,2.0,3.6651641721618944e-9,3.6651641721618944e-9,3.90950845030602e-12,2.443442781441263e-12,0.0
22.6749493,0.05,0.0,2.0,5.809681624668883e-9,5.809681624668883e-9,-0.0,0.0,0.0
