Time,Probability,RiskPremium,T0,T1,T2,Z,Expected,CVaR
7.0060579,0.05,-7.386914073019094e-12,2.0,-3.1845320252129264e-9,-3.1845320252129264e-9,-4.1279813937459644e-12,-4.3452435723641734e-12,0.0
4.7597847,0.05,4.436973692160487e-12,2.0,3.91497678720043e-9,3.91497678720043e-9,2.4794852985602716e-12,2.6099845248002867e-12,0.0
3.6315213,0.05,-1.714750889429221e-12,0.1,0.0,0.0,-9.582431440927999e-13,-1.0086769937818947e-12,0.0
3.562317,0.05,0.0,2.0,0.0,0.0,-0.0,0.0,0.0
3.5644312,0.05,4.153852728450146e-12,2.0,3.6651641721618944e-9,3.6651641721618944e-9,2.321270642369199e-12,2.443442781441263e-12,0.0
3.679349,0.05,0.0,2.0,5.809681624668883e-9,5.809681624668883e-9,-0.0,0.0,0.0
