Time,Probability,RiskPremium,T0,T1,T2,Z,Expected,CVaR
12.7108017,0.05,-9.559535859201181e-12,2.0,-3.1845320252129264e-9,-3.1845320252129264e-9,-6.952389715782678e-12,-4.3452435723641734e-12,0.0
14.4470523,0.05,5.741965954560631e-12,2.0,3.91497678720043e-9,3.91497678720043e-9,4.175975239680459e-12,2.6099845248002867e-12,0.0
10.8150295,0.05,-2.2190893863201687e-12,0.1,0.0,0.0,-1.6138831900510319e-12,-1.0086769937818947e-12,0.0
12.7764026,0.05,0.0,2.0,0.0,0.0,-0.0,0.0,0.0
10.3244739,0.05,5.3755741191707785e-12,2.0,3.6651641721618944e-9,3.6651641721618944e-9,3.909508450306021e-12,2.443442781441263e-12,0.0
10.0945792,0.05,0.0,2.0,5.809681624668883e-9,5.809681624668883e-9,-0.0,0.0,0.0
